Sl.no.,company_name,financial_health_revenue_growth,financial_health_profit_margins,financial_health_cash_flow,financial_health_debt_levels,financial_health_liquidity,market_position_market_share,market_position_competitive_advantage,market_position_brand_recognition,operational_efficiency_productivity,operational_efficiency_supply_chain_efficiency,operational_efficiency_cost_management,management_leadership_experience,management_leadership_vision_strategy,management_leadership_corporate_governance,customer_metrics_customer_satisfaction,customer_metrics_customer_retention,customer_metrics_market_reach,innovation_growth_RnD_investment,innovation_growth_product_pipeline,innovation_growth_scalability,human_resources_employee_satisfaction,human_resources_talent_acquisition,human_resources_training_development,risk_management_operational_risks,risk_management_compliance,risk_management_insurance,sustainability_social_environmental_impact,sustainability_social_social_responsibility,sustainability_social_ethical_practices,technology_digitalization_IT_infrastructure,technology_digitalization_digital_presence,technology_digitalization_cybersecurity,target
11,Modern Enterprises AG,1.185260449,6.520736763,2.990884976,8.316871648,1.302522402,1.562118343,5.939727986,4.017511451,1.312054338,2.569683404,2.489497972,2.199558323,8.233241067,1.470995716,3.254346521,8.532350496,8.554672338,2.669733777,3.579945232,5.900781636,8.974665704,2.094286146,5.614192651,1.378403165,9.638509433,3.892170752,6.089850232,5.454569203,8.479759666,9.407398094,1.607993591,3.628126904,52.23300144
12,Elite Systems Inc.,9.729188669,4.764187327,9.889012072,7.463107686,1.563878831,8.951182867,3.588694561,1.60314884,4.527195066,5.244845417,7.359437161,9.349711598,8.360398662,8.045637562,8.253152583,9.959352497,5.033537623,6.865118154,4.302620486,5.79079237,7.561303685,6.004516017,7.081720843,6.384139839,3.96223035,9.906083274,6.735743438,9.511641635,9.205639374,7.814499629,2.54288984,8.003130952,66.75621333
13,Supreme Systems AG,8.491983767,9.39455635,9.496534057,9.599713264,9.15793708,5.034871498,3.760989396,9.778088201,7.274473229,1.822797926,5.818129913,8.809318881,9.810526203,8.609597298,3.517064709,1.203117249,6.730236229,7.413412666,1.755081646,1.682844771,9.350290555,3.942798609,9.642270927,8.693380477,8.973313034,2.419198049,7.654761223,7.728171724,3.289060788,1.9309165,9.859431814,9.045805527,69.57180101
14,Global Enterprises Pvt. Ltd.,2.911051996,8.794575006,1.354841302,1.164093244,2.25320834,5.593892401,4.176626531,8.352765165,2.740918087,6.63113721,6.71791012,7.368585272,5.516825779,8.191739312,2.723691898,2.015723302,2.991140378,7.192274671,1.47048735,7.283939081,3.993909398,4.982421823,3.283025132,4.43416949,8.628502368,5.64705837,2.629453244,7.574883683,7.952737808,3.080362308,5.216922548,7.520143809,99.49607456
15,Global Consulting Inc. Ltd.,2.636424705,1.406968031,7.350176553,2.762001871,5.79178614,6.6393326,6.591632041,8.672926791,6.773540331,5.954785125,2.768382703,1.955924448,5.094611918,5.576311318,5.538371147,6.48520987,7.093663414,3.87385192,3.281114167,6.613949716,5.528884751,6.822520375,8.874793528,7.660323505,2.896123576,8.135600805,9.631063781,1.417179425,3.389259025,4.547534091,8.806109542,5.18656327,60.3942936
16,Tech Services Inc.,2.650640589,1.23730277,9.327234857,1.068065875,4.699860423,9.337443461,4.006449691,9.441687083,3.338453241,4.666289718,2.905712758,7.98289529,7.781280449,3.096116548,8.790805327,8.385187954,7.950162483,3.269821619,1.668221734,2.701155545,1.12671697,5.44713167,9.316700248,6.649303722,6.618613607,4.893782325,6.748653307,5.947027021,2.878682801,2.530961938,8.6387722,1.77858342,77.23898077
17,Tech Works Co.,3.738180187,4.388170302,2.625178106,6.827272427,4.126089936,1.17204485,7.594291455,1.765931375,8.974774979,5.692393193,1.37347593,8.271615953,2.192235907,8.607969781,3.172147335,3.567199081,5.258918682,9.6032692,1.933972378,5.224913759,1.062618286,6.582509354,7.033739632,4.380838619,1.65414084,5.212756542,8.62342227,5.202923085,9.498395437,5.454204443,5.603676017,1.512531538,99.36577746
18,Supreme Enterprises Corp.,5.722807885,8.294979977,6.111507075,9.082274941,9.098500111,5.291591215,4.64074647,4.470378333,9.061209498,9.069171926,3.898607817,7.909881559,5.922239624,7.544465288,1.706826185,3.152899792,6.559542317,9.309695574,8.316355649,7.482906248,3.161139584,5.897800019,9.381399647,2.269538195,8.530396485,9.87720216,5.860591438,9.350580399,1.17373975,5.242313401,7.360189376,4.368930082,89.6009604
19,Dynamic Group PLC,4.887505168,9.885485164,9.239394678,3.191340669,1.196410571,7.189498382,1.615178803,1.639314001,3.675584839,2.766648721,6.037701952,2.025692984,5.916228401,9.826850569,4.207642623,8.082782194,5.106933314,5.115849489,1.349863273,5.764921665,1.907264774,7.658167347,4.580907287,7.383914675,2.570912952,4.827773353,4.728491628,3.316077894,9.688498333,9.606332782,2.734768094,5.174395469,99.66837504
20,NextGen Services Co.,3.621062262,2.35375202,1.305513807,9.343310903,6.974107176,7.504362619,8.053838582,2.897137914,3.069943786,1.203080605,8.721414226,6.795171614,1.805258105,2.40123338,7.728866421,1.507436685,9.046822323,8.615744795,6.930485145,4.559401686,3.341902311,7.353429559,9.577145584,8.69108652,1.637332312,6.436648905,9.794646159,3.42850108,2.343357073,4.903550946,7.195570344,6.4820856,98.41491573
21,Innovative Enterprises Corp.,6.506676053,6.347176438,7.276782405,1.542406513,9.670549908,7.232791884,3.571824921,3.064291993,4.701735749,8.754983962,7.002347027,8.508923162,4.76185677,3.030981247,5.956214902,4.324443828,5.480822625,5.070911299,3.453019739,3.901046123,2.593389651,5.807709026,7.325045894,7.172690432,4.60197186,1.490856946,6.239092337,4.70211624,8.374942736,8.070641239,3.451461213,1.058405692,74.4769771
22,Modern Services Pvt. Ltd.,2.255444746,4.42801771,3.676141066,9.409924241,6.041513651,2.209916165,4.894901916,5.221964899,3.164784267,6.194053741,4.918566911,6.196180611,8.679563187,2.906183349,8.351140326,5.552283003,8.576278381,4.819501163,8.843911126,6.4935448,1.256680224,7.110127188,1.378051907,1.160906356,6.192299247,8.579890722,8.801862245,3.190327421,3.483302978,9.477194904,8.488558871,9.907506014,84.81879249
23,Innovative Consulting Co.,3.629301837,9.72922958,9.319565758,4.164604185,9.431402158,3.694560295,7.168994949,3.417059507,7.05145459,9.015926099,9.57808103,6.817666377,8.705382598,8.132857909,9.636329328,6.043138069,8.212168524,2.410866528,5.364930561,9.451978285,9.183737318,8.86203642,9.161855486,2.94609605,8.694252627,6.833512441,9.579631567,2.16265526,4.156320947,8.892899479,1.753517198,4.275449951,55.52215635
24,Tech Enterprises PLC,4.29725659,8.579070308,9.739524206,1.912787456,1.470320914,4.228439729,3.992105414,1.908802961,8.434582161,6.372507011,7.473206805,5.125271315,1.893138984,2.682165668,8.133962291,7.557536411,4.694543392,4.837654508,3.750188134,7.045703564,1.074008183,4.89044159,5.360255281,1.625319864,9.76818273,4.636180926,7.078191643,8.71673362,2.950819402,2.878008621,7.958248056,8.632851974,72.05744125
25,Dynamic Enterprises Pvt. Ltd.,5.104629858,8.544958342,9.498398402,5.372845833,4.769139872,8.239934869,1.509270905,2.507419802,7.057829178,8.29144981,9.371486826,5.758365879,1.816487945,1.599938468,6.43422771,4.193611511,3.070760427,5.836752447,5.658750421,1.672713133,7.624739299,4.714867655,5.142942863,6.133474896,4.955432613,1.14552586,5.940448107,6.02448872,6.269626382,5.464269048,1.899432159,5.814700351,90.45092711
26,Innovative Services Inc. Ltd.,8.066583653,5.218238438,5.26792795,3.310989109,3.341420119,3.508838852,4.365289423,2.325480072,8.419154025,4.86706027,5.748291759,1.309391725,3.364259293,9.987047259,5.440074292,6.514159102,4.654739193,1.202538947,4.437622171,5.146164761,2.369330982,7.878210588,6.098199454,7.80829911,1.544022307,6.325019385,1.031597658,8.752264471,4.132859928,4.129658041,8.930703132,2.173955091,75.26676605
27,Prime Solutions PLC,2.797064039,4.733375521,8.758383859,3.563856118,7.577388685,2.896344675,9.500037244,9.757691181,4.57292946,7.748739382,3.330138473,6.750667198,8.872894563,1.223354903,1.360621777,6.268378805,8.435956382,4.997017047,6.078709582,9.017417184,9.210066598,6.242984533,2.344460921,1.995212684,7.742040211,1.113920456,1.360176767,8.480212889,6.916537355,4.598728256,3.737840663,8.178089973,85.13495164
28,Elite Industries Inc.,5.628109946,3.460663647,8.600944587,3.765609684,9.831673814,9.617032171,6.775609576,7.833632562,2.406852736,9.217373202,1.475440177,1.733024916,2.160123266,8.517196541,9.858897809,5.928544906,3.048692822,8.032205966,2.030795815,1.850161832,9.035163456,1.639061022,5.222494437,8.545040385,6.086559306,1.010832525,2.807660944,3.538381193,1.140825861,4.247261436,6.889540283,7.388443674,87.2875665
29,Dynamic Industries LLP,6.33173112,1.50737947,3.871904259,8.22723308,3.308770562,1.079769566,7.043312338,9.709853187,7.641558527,6.149106673,7.534763663,4.915131349,7.479971224,4.288301574,4.451330103,6.764349638,5.719927113,7.120414507,9.972914525,9.899881409,6.885110317,9.029008141,8.48014495,5.999580806,5.031022104,6.544887059,2.674075887,5.929636999,1.579373952,8.437232892,5.387520508,5.746924764,62.67345706
30,Elite Works Inc. Ltd.,1.418053714,8.782501386,8.460239267,5.85245149,6.887571413,9.980387701,6.690539383,4.957664379,4.244270546,2.627066355,2.091726982,3.633895879,1.910490577,8.574539138,2.370053925,3.33504254,8.254870732,6.7164129,4.830002899,9.541624543,7.050107348,1.27704792,1.139342132,7.209721109,3.783419909,2.701153606,3.292829157,1.748959325,1.896950375,5.069251496,4.296728307,5.630977822,93.78496865
31,Pioneer Solutions Corp.,6.467903667,8.316109082,1.333068712,3.801769292,2.782878695,7.09139169,2.790929251,3.505316335,7.041437427,3.419178535,3.724976154,5.908851552,6.608240684,5.991584421,7.000379699,1.761838782,4.181297276,9.185998856,4.134075757,1.704470327,1.048052278,7.735567206,3.456254443,9.742616637,5.521586751,2.726987947,3.744411739,9.237266956,4.770943168,5.71324899,6.808976499,1.787316452,72.99112155
32,Supreme Industries Inc. Ltd.,2.534717113,9.99745906,6.366428906,6.49300405,6.087972291,8.456223695,4.765004777,8.184638775,3.435795478,2.787801192,5.792238171,2.20074702,4.204605692,9.114681065,3.558594602,2.073445048,6.779886733,1.162288088,7.391888635,9.400719884,9.863844095,7.829147284,1.022091278,1.753128894,4.04811644,6.879444092,4.240589442,4.638364436,8.333165554,9.842026213,9.527706825,6.902640537,60.50925518
33,Modern Systems AG,1.585464337,9.969731534,3.070079536,7.445356068,5.17539238,3.651574567,7.758458185,3.936285262,1.731066713,3.221713248,6.07974929,7.224790618,8.100225667,9.335736878,6.272004438,3.021241444,3.210684166,6.013428276,4.275094658,4.268193312,8.900493432,9.577999768,4.741401782,9.111016207,7.81310681,1.483274691,4.784839211,4.543085655,8.993601193,1.53981345,1.371427726,9.201206402,93.27079409
34,Supreme Services Corp.,9.539969835,5.99888535,2.085101972,3.453616007,9.748047967,1.128837499,1.912356078,3.694450363,9.933236159,3.757739044,6.405248773,8.155103832,3.103214039,1.081883632,6.280911171,5.50178142,1.983515008,8.086139636,8.499468745,8.602382504,9.055956032,1.487209676,7.554839594,2.134924264,5.895043268,3.820650053,1.889797046,3.724798336,3.203296661,5.391618758,9.269675703,1.839204273,70.89094031
35,Tech Industries Pvt. Ltd.,9.690688298,7.920886737,1.692578815,4.721941914,6.476745454,7.640825667,3.500674985,3.09255393,2.405813571,5.996204081,2.496297973,2.470190048,6.752816465,1.678709584,5.011568388,8.563984755,8.149458026,5.872018444,5.088436519,4.765450039,6.933200833,6.371711747,8.188946462,4.53662926,8.891629967,2.344887119,1.381257388,5.145973702,6.169327518,7.966555363,6.481734895,3.371603056,87.51562192
36,Prime Consulting Inc. Ltd.,8.275576133,9.502891569,7.266598983,2.09697484,4.145557349,8.507301373,3.486871976,2.167110804,9.895788946,6.291924665,4.417636643,1.938817786,3.121142811,3.253228566,8.52506754,7.311640079,1.890717611,3.915059973,7.476025719,4.967696014,4.103082358,4.850565136,9.50670785,8.662948267,5.891895232,6.221587328,7.065500042,3.265834479,7.915284934,2.360457624,8.265828707,9.120771761,77.40165361
37,Modern Services Inc.,3.741523923,8.646826516,4.058874674,2.630344146,2.026862064,7.664285188,4.888170348,3.308167549,9.795519393,4.838497725,6.554748044,2.309639345,7.422942548,7.023838747,3.384703554,8.101365438,3.442432556,2.226255086,1.967078948,6.708187819,9.042837842,3.975696594,6.476541517,9.156288131,3.14436172,6.955886393,5.836013424,4.373670455,3.599464869,6.503784352,4.454874581,3.559095188,69.09358761
38,NextGen Systems Pvt. Ltd.,1.879049026,3.226132916,7.522900944,7.130060686,2.361221459,2.285652586,9.823318668,4.197877736,8.144362935,6.538787018,9.728369782,8.894148057,8.863102311,8.994449769,5.037693325,4.158780615,8.695984798,8.988067646,8.61507267,7.970296773,3.623652353,1.812867043,3.2916418,5.557345062,8.65982694,7.490222682,4.99729782,8.199523437,4.681069631,3.155183016,5.246586774,6.88549305,90.49382075
39,Prime Enterprises PLC,7.158097239,5.054897218,1.588207067,2.632945129,3.02785237,7.7808513,1.60752292,7.065947873,6.934806659,1.734174331,7.548680239,5.753703356,2.141216192,5.139477562,5.839229157,4.641883675,4.118223584,5.236861531,7.621461881,1.304102359,6.06440389,6.063887077,9.317331542,6.346941744,6.014971404,3.297080952,6.709959471,8.508299532,5.715767824,8.806637019,8.819656766,5.813363484,79.22349658
40,Tech Systems Co.,4.961372444,2.162434736,3.83761304,5.726470453,3.258699952,7.920305039,5.668308949,1.56308358,6.200263452,1.790094134,9.303433814,5.205348964,8.799361197,6.462758046,6.972622487,4.543136974,9.757408146,8.903036773,2.905451006,6.33840396,1.897578751,5.311366531,7.977841785,7.373326011,2.861569343,1.803247765,8.449114665,3.737642299,2.213873618,3.943896989,4.733631728,6.366948445,69.52810512
41,Pioneer Systems LLC,2.098344114,9.586459245,5.855421631,7.381416356,8.655544521,6.926864641,2.614282138,2.894562457,8.794913908,2.546465143,7.859908525,1.960406372,6.34217729,2.696498675,8.055746655,2.72685866,9.817609013,6.272669102,2.307574088,2.680596947,9.297600671,1.940990123,6.169856347,8.494828016,6.61157029,1.708152912,4.849236182,5.221129875,1.233840644,3.961565352,5.811936101,4.742100114,55.47989352
42,Prime Holdings Co.,5.456592191,6.45557171,8.116508484,1.961892308,6.051005095,7.895043395,9.736088909,8.281212763,3.604955695,5.662697482,6.32545272,6.846004061,2.143994418,8.244701505,4.553265546,1.550949923,3.414484184,7.06772905,3.846631139,4.113545661,2.26693412,6.512405564,7.260761941,2.093600526,4.219450884,4.835363936,6.770075185,8.864377987,2.375252284,6.383744907,1.181754308,3.699923235,94.77226569
43,Modern Industries Ltd.,1.30949669,3.05778525,3.868772526,6.105809977,5.710518202,8.613292957,2.019731543,2.322297312,5.209130912,2.925952108,2.728210322,8.811996327,4.847876698,9.705953002,6.814422497,6.318244835,1.368804,8.238350389,9.784635274,4.131717995,3.024071252,7.641578082,9.318847195,8.290623774,8.599650511,9.512599682,9.582150015,1.474059986,6.641682591,2.652066173,2.427382053,1.436801057,51.77347927
44,Pioneer Industries Inc. Ltd.,9.183883619,7.04530616,6.633022388,3.309065053,2.032919847,6.522437028,4.632409021,4.083806319,6.574509724,3.549559631,7.000170867,8.453672824,2.447742641,3.417390396,2.355498578,9.902950151,7.345569558,6.932399901,3.311484171,5.221543062,6.023207423,7.905504709,7.411546256,5.331485355,5.079697648,2.959561308,8.556620463,9.002304658,1.662564354,3.56399775,6.775178572,7.698528454,93.15936742
45,Modern Systems Ltd.,3.329019834,6.563154164,8.973799734,9.666341877,8.74125724,1.797442426,7.640964864,8.781930297,4.700714283,4.602815526,6.610416094,6.634492381,7.303131,5.453433564,9.393832905,2.501467345,5.058878524,4.582493566,5.105144881,4.007227707,7.876837002,9.148358694,4.315370568,5.055610826,7.537972223,3.310674412,4.834007295,2.972659111,2.707267284,4.749686651,7.45279211,7.71484116,67.99807624
46,Supreme Consulting LLC,6.962700559,4.223464462,6.542768694,5.35191082,7.505328729,5.388650287,7.340989852,2.3943278,4.847378087,8.306795116,6.422222534,1.67750845,7.82981321,1.775044995,4.447529258,1.420163379,1.906775596,5.622700455,1.270182031,1.966250066,6.574161753,4.685236677,7.417253821,4.815097768,1.859825869,1.907999219,6.80245154,7.106853198,4.040684971,4.182740768,6.243408431,7.036531661,81.96693818
47,Global Enterprises LLP,3.805399685,2.02201833,3.096635273,8.253932948,1.609015257,1.698844012,4.804557732,1.744631521,3.972562008,1.124759223,5.408072812,2.011573245,1.952168682,6.032229908,7.565692798,8.015785136,7.367705371,8.227409722,4.575047766,2.310658647,3.089205215,9.577654918,1.362503465,5.582904267,4.564219117,6.450132465,2.593638297,6.242965267,1.700830579,5.723894962,2.289790326,6.792704093,96.10998619
48,Innovative Consulting Inc. Ltd.,5.680612191,7.04415876,1.219607034,5.952038879,7.370515875,4.667887279,4.118717512,5.360841956,6.07808635,6.844409382,5.757909436,1.443780884,5.555258674,5.525050977,1.183069737,3.27327406,1.280574182,4.362852667,6.141880139,1.30094187,1.008487383,8.788864646,4.477740056,9.505454981,9.849172928,7.118855866,6.044699664,5.976466734,2.72529344,6.396761297,5.008648857,3.19345419,57.58533078
49,Pioneer Consulting Inc. Ltd.,5.920392514,5.682769308,8.830889865,1.390712796,5.891843956,4.663958402,4.578511407,3.721775602,8.655170752,7.019888779,4.009982744,3.317312948,8.331625504,2.299928357,2.846684286,8.466794248,8.831770214,4.493093111,9.578121513,5.232241768,7.814355223,3.668514139,4.656907287,5.933833955,8.276142605,6.786380873,9.83195462,8.734242023,9.201428101,6.100007084,4.195852897,1.201104404,78.34752378
50,Elite Enterprises AG,2.6636901,7.950865526,1.191424698,6.69836238,1.735528112,1.594088597,3.378486368,6.07067528,2.813755402,8.187902023,5.673814234,2.220953204,9.425467374,4.978595918,5.383742899,7.335430003,2.247872762,1.861211045,5.650624404,9.590029254,9.866865933,2.433547336,2.50154411,9.578597844,2.439467221,8.750172187,5.664836037,1.914149293,1.17369219,6.887514808,5.460952096,8.278438572,88.22164312
51,Modern Industries Co.,9.72626165,5.68147151,8.872315054,9.56263008,5.124705774,4.139384806,2.847996448,8.234244014,9.409897349,9.394776452,2.778003151,3.340432362,5.621660801,4.006941869,8.90427221,9.511061833,2.145806909,9.231259917,8.371965936,2.041077013,8.289218083,4.918504565,1.207769325,2.622611176,3.499876445,5.377832515,9.348744693,4.123252228,6.880887318,3.769745649,8.832961311,5.420246821,87.87919164
52,Supreme Systems AG,7.97619541,8.669633503,5.760434206,6.414506381,5.362266584,1.998982889,5.347357278,2.234336393,7.201788884,1.181240641,8.246569576,4.465522501,9.552513013,5.696477878,5.74529635,4.680345122,2.581050682,1.819326835,5.924148783,9.516380437,5.141859563,4.617088372,2.20043113,7.517223809,3.96834228,2.210113367,4.666014285,5.844274717,4.459680378,2.137836044,7.982752948,3.761543176,76.28159573
53,Global Ventures Inc. Ltd.,9.455490474,5.967161549,9.451609287,8.372699735,2.491970861,8.27411689,3.416803805,6.226291761,8.409458914,2.38405335,2.671992592,9.486845057,5.821200734,6.270889019,9.368834341,6.957728555,9.642397226,6.833882597,1.367065121,7.600253633,9.133905353,6.181473748,6.891593462,8.310155847,6.853290044,3.604646176,9.989603445,8.301599686,7.053838655,7.847267873,1.755905513,1.917387161,81.236973
54,Global Enterprises Ltd.,9.053446154,6.048441744,8.189049122,8.95785817,9.511283323,9.529192234,3.587154984,5.549578844,6.005716234,8.975541647,1.764696609,6.493384538,4.547714451,1.076460207,5.354172069,5.183693027,7.238524242,4.718750309,3.835074477,6.737489226,4.688629058,6.250476091,8.220599347,7.112159482,7.812952835,6.961869761,6.212980317,2.947987751,6.298225483,8.657023444,9.01278278,1.564494318,87.87634971
55,Modern Systems LLC,6.381099809,8.889882424,9.981406995,3.052717948,8.649778343,1.650848277,6.910804571,2.296709074,8.015650313,5.12666706,4.926214237,8.514764071,8.633828157,7.849053847,5.414041871,6.675298276,8.212343819,4.650574512,6.17994557,6.807499798,5.724406758,7.749882859,9.893831435,6.462300522,7.745739479,6.518097764,1.380420948,8.226368572,3.011488789,3.31305609,5.24590436,4.139800496,92.05138189
56,Elite Industries LLC,9.296868115,4.631345796,4.156406339,2.908403559,7.021201036,9.596036866,9.716835985,6.61598637,1.145803576,6.08131575,6.924766956,7.393163506,5.436844394,7.417128627,2.077721097,5.046390154,4.578714872,7.115966529,9.555345693,8.440548836,5.294167907,5.589009534,4.117271528,6.08331503,5.588866507,5.779028168,6.28079317,4.596746342,8.624885388,4.663827605,7.694759304,8.242633583,88.09065484
57,Dynamic Services Inc. Ltd.,1.796432518,2.206137056,7.9046946,6.4988289,5.160660049,5.703189394,6.432734805,3.462763761,8.365423823,6.967244834,4.939451424,2.012528175,5.247122595,4.296577476,8.223906197,2.697690218,4.026814548,1.603843594,8.732173238,1.962278779,5.028614854,1.943403768,6.394413,8.748374343,8.297384841,7.146679768,3.471154261,2.700224708,5.427463443,5.487122953,2.260353081,9.268513744,67.70024716
58,Elite Services LLC,2.763845762,1.259044087,4.617378222,4.699256228,4.705889874,3.696091102,1.692815204,5.390508867,1.361249732,7.11159944,3.490787188,7.623283657,5.412812405,1.47642342,3.222688712,5.571076744,3.110356061,6.343352047,3.055200528,5.542788912,7.976716924,8.72462202,9.434304701,8.394819374,4.933702745,6.736517653,1.292331898,7.830877964,8.40282417,5.799941585,7.036475731,9.070762282,99.83632005
59,Prime Consulting Co.,1.4070456,7.796235301,5.318880583,8.558751726,6.858761204,1.691758677,1.680252525,1.740450918,9.009220387,9.38566363,6.023540655,3.475889934,8.621065017,7.794392858,9.096512404,5.757257813,5.325832255,7.948286074,2.98098847,7.273820244,5.740920165,3.787881249,2.503376032,2.100598491,2.114925088,8.931924005,8.387679742,1.818090113,4.654112826,6.93541154,3.126934158,9.280007513,71.72513469
60,Elite Solutions Corp.,3.927972977,6.582785962,6.647549169,9.100208111,5.908886825,5.505618413,9.562808988,5.136256515,9.927664725,9.972544757,4.123021019,6.751970623,8.487473875,9.596576444,9.197417983,8.295434634,5.966458602,8.453914821,2.810556704,6.281384006,3.850454098,9.741677143,7.458810277,8.637288913,6.079976575,6.274147397,3.481566733,5.632906367,9.862169985,1.3744291,4.945428074,9.169528088,51.22323514
61,NextGen Industries Pvt. Ltd.,4.498095607,7.336717913,8.863094028,4.180792414,1.560457953,8.1506399,3.675617113,3.758171212,3.64660716,7.481417148,9.395809211,4.068657763,4.631679932,3.161364364,9.489791007,7.619686352,6.685973593,2.534773505,9.302490067,8.495011639,3.323423509,2.060740978,7.794808598,4.726617575,9.570712461,8.007412228,8.168936986,1.574882055,7.934404227,7.493293745,1.151765831,5.745022764,68.13084758
